               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.047691,            0.073172,            0.092465,           0.0038992,             0.14938,            0.017117,           0.0094816,            0.037989,            0.047119,            0.082211,           0.0095743,           0.0095743,           0.0095743
                  88,            0.044858,            0.072725,            0.090176,           0.0031622,             0.12758,            0.013868,           0.0068037,            0.040369,             0.04541,            0.081747,           0.0095694,           0.0095694,           0.0095694
                  89,             0.04611,            0.067944,            0.090704,           0.0038514,              0.1478,            0.016217,            0.008337,            0.040033,            0.044006,            0.081801,           0.0095644,           0.0095644,           0.0095644
                  90,            0.044096,            0.064413,            0.093846,           0.0035099,             0.14122,            0.015497,           0.0072721,            0.042349,            0.044939,            0.081694,           0.0095595,           0.0095595,           0.0095595
                  91,             0.04571,            0.076718,            0.093046,           0.0042647,             0.14478,            0.022422,             0.01251,            0.036739,            0.045337,            0.081448,           0.0095545,           0.0095545,           0.0095545
                  92,            0.046555,            0.062511,            0.091573,           0.0039851,             0.14586,            0.021357,            0.010917,            0.036391,            0.045593,            0.081107,           0.0095496,           0.0095496,           0.0095496
                  93,            0.045425,            0.066557,            0.090841,           0.0037067,             0.14324,             0.01958,           0.0096276,            0.038638,             0.04666,             0.08123,           0.0095446,           0.0095446,           0.0095446
                  94,            0.045033,            0.067725,            0.089146,            0.003699,             0.13739,            0.016637,           0.0075835,            0.042652,            0.048782,            0.081257,           0.0095397,           0.0095397,           0.0095397
                  95,            0.047326,            0.065137,            0.091788,           0.0039762,             0.15229,            0.018412,            0.010617,            0.036708,            0.045728,            0.080858,           0.0095347,           0.0095347,           0.0095347
                  96,            0.043727,            0.066734,            0.091156,           0.0038815,             0.14961,            0.016577,           0.0088979,            0.037085,            0.043924,            0.080877,           0.0095298,           0.0095298,           0.0095298
                  97,            0.045163,            0.058199,            0.089764,           0.0040686,              0.1583,            0.018809,           0.0097253,            0.037389,            0.044209,            0.080781,           0.0095248,           0.0095248,           0.0095248
                  98,            0.047832,            0.062914,            0.088141,           0.0037831,             0.13817,            0.018471,           0.0087325,            0.042053,             0.04444,            0.080578,           0.0095198,           0.0095198,           0.0095198
                  99,            0.049962,            0.069608,            0.093428,           0.0041261,             0.15603,            0.020602,            0.009895,            0.036457,            0.045436,            0.080705,           0.0095149,           0.0095149,           0.0095149
                 100,            0.044694,             0.07202,            0.090068,            0.003674,             0.12894,            0.017495,           0.0077487,            0.039954,            0.049779,             0.08082,             0.00951,             0.00951,             0.00951
                 101,            0.045032,            0.061616,            0.092236,           0.0033734,             0.12632,            0.017881,           0.0080727,            0.038685,            0.049374,            0.080586,            0.009505,            0.009505,            0.009505
                 102,            0.043848,            0.060505,            0.091294,           0.0036164,             0.13135,            0.019298,           0.0080714,            0.044642,            0.050243,             0.08077,              0.0095,              0.0095,              0.0095
                 103,            0.043475,            0.062747,            0.090513,           0.0040374,             0.13333,            0.019035,            0.009715,            0.037322,            0.047769,            0.080532,           0.0094951,           0.0094951,           0.0094951
                 104,            0.044995,            0.061296,            0.090542,           0.0042133,             0.14364,            0.018678,            0.009889,            0.038041,            0.044006,            0.079831,           0.0094902,           0.0094902,           0.0094902
                 105,            0.045984,            0.063681,            0.090707,           0.0039691,             0.14511,            0.018788,            0.010004,            0.039129,            0.043065,              0.0797,           0.0094852,           0.0094852,           0.0094852
                 106,            0.042289,            0.067151,            0.090139,           0.0041154,             0.14233,            0.018886,            0.010763,            0.037005,            0.042227,            0.079305,           0.0094803,           0.0094803,           0.0094803
                 107,            0.043789,            0.066164,            0.088774,           0.0047132,             0.16948,            0.022189,            0.012495,            0.035379,            0.041803,            0.079397,           0.0094753,           0.0094753,           0.0094753
                 108,            0.044648,            0.068013,            0.090853,           0.0045314,              0.1721,            0.025383,            0.014617,            0.038028,            0.042166,            0.079252,           0.0094704,           0.0094704,           0.0094704
                 109,            0.045996,            0.060958,            0.091363,              0.9708,            0.014852,            0.023042,            0.012547,            0.037458,            0.042856,            0.078945,           0.0094654,           0.0094654,           0.0094654
                 110,            0.043115,            0.058729,            0.089455,           0.0042452,             0.13115,            0.018735,           0.0088385,            0.041492,              0.0496,            0.079256,           0.0094605,           0.0094605,           0.0094605
                 111,            0.044297,            0.064731,            0.089562,              0.9577,            0.011006,            0.019263,            0.011054,            0.035283,            0.049359,            0.079091,           0.0094555,           0.0094555,           0.0094555
                 112,            0.042719,            0.063247,            0.088316,             0.95797,            0.015334,            0.020006,            0.010563,            0.036995,            0.046196,            0.078941,           0.0094506,           0.0094506,           0.0094506
                 113,            0.044084,            0.066515,            0.089399,           0.0046363,             0.14533,             0.02329,            0.013128,            0.036377,            0.045752,            0.079171,           0.0094456,           0.0094456,           0.0094456
                 114,            0.041862,            0.065007,            0.089092,           0.0048502,              0.1534,            0.024456,            0.012899,            0.038267,            0.042506,            0.078585,           0.0094407,           0.0094407,           0.0094407
                 115,            0.045448,            0.065418,            0.086457,             0.90371,            0.034578,            0.023653,            0.013747,            0.034156,            0.042638,            0.078217,           0.0094357,           0.0094357,           0.0094357
                 116,            0.045039,            0.067611,             0.08806,             0.97952,            0.014254,            0.026062,            0.014897,            0.034544,            0.041251,            0.078098,           0.0094307,           0.0094307,           0.0094307
                 117,            0.043124,            0.061988,            0.088472,             0.96995,            0.014693,            0.024913,            0.012819,            0.036877,            0.041022,            0.077722,           0.0094258,           0.0094258,           0.0094258
                 118,            0.042229,            0.061626,            0.087292,           0.0049317,             0.14104,            0.022301,             0.01199,            0.039435,            0.041646,            0.077231,           0.0094208,           0.0094208,           0.0094208
                 119,            0.044586,            0.060617,            0.089544,               0.977,            0.015165,            0.023088,            0.012315,            0.037137,            0.042081,            0.077155,           0.0094159,           0.0094159,           0.0094159
                 120,            0.044426,            0.061242,             0.08781,             0.98322,            0.013986,            0.025304,            0.014324,            0.034965,            0.043005,            0.077105,           0.0094109,           0.0094109,           0.0094109
                 121,            0.044821,            0.063349,            0.088251,             0.97791,            0.014669,            0.029595,            0.015056,            0.040496,            0.041765,            0.076881,            0.009406,            0.009406,            0.009406
                 122,            0.044301,            0.060781,            0.087883,             0.98291,            0.014189,            0.027951,            0.015107,            0.039649,            0.041026,            0.076443,            0.009401,            0.009401,            0.009401
                 123,            0.046036,            0.063232,            0.088119,             0.97989,            0.014441,            0.025096,             0.01464,            0.033672,            0.040479,             0.07624,           0.0093961,           0.0093961,           0.0093961
                 124,            0.043444,            0.063967,            0.087478,             0.96807,            0.015372,            0.025768,            0.015657,            0.031867,            0.040657,            0.076553,           0.0093912,           0.0093912,           0.0093912
                 125,              0.0413,            0.065847,            0.088714,             0.96734,            0.014602,            0.024816,            0.014244,            0.034725,            0.041571,            0.076698,           0.0093862,           0.0093862,           0.0093862
